disease_id,disease,n_cases,signature_herbs,signature_symptoms
Disease_b548121cd2,疠风,1,宽筋草、川桂枝、川芎、当归、木瓜、滑石,两手筋急拘挛、口淡、右足筋急拘挛、胃钝
Disease_1c80d129b3,疬窜,1,东白薇、北沙参、安南子、海蛤壳、甜杏仁、白芍,咳痰、腹部或漏
Disease_743da9f851,病后中气不足,1,小京枣、川黄草、新会白、浙茯苓、白芍、米炒党参,消化力薄、肢搦无力、胃气不健
Disease_d32aafc741,痉,1,冬桑叶、山栀、左金丸、广郁金、滁菊花、滑石,口苦而腻、夜不安寐、心跳、胃钝、胸闷
Disease_299f3d1dec,痉厥,1,天麻、广郁金、桑麻丸、池菊、泽兰、甘松,便不畅、头晕、心跳
Disease_a77e8c430a,痉挛胃痛,1,宽筋草、延胡、明乳香、泽兰、甘松、络石藤,呕酸、气滞、气逆、胃筋痉挛、脘痛
Disease_0a9ea45298,痔疮,1,佛手片、佩兰叶、保和丸、大豆卷、浙茯苓、滑石,口腻、胀痛
Disease_7a63fdb186,痛泻,1,于术、小京枣、带壳春砂仁、新会皮、浙茯苓、炙草,腹痛
Disease_d8284f3da6,痧,1,代赭石、吴茱萸、川连、打延胡、明乳香、楂肉,呕苦、有块攻起、胸膈气闷、腹痛甚剧
Disease_c413ca6e31,痧秽夹食,1,于术、佩兰叶、冬瓜皮、山栀、广郁金、扁豆衣,夜有慌梦、溺短赤热、肢懈、肢懈无力、胃钝
Disease_c4793e9f23,痨嗣,1,东白薇、京川贝、元参、带壳春砂、新会白、杜兜铃,便泄臭秽、吐酸、呕吐酸苦、神烦、稠痰
Disease_2307816279,痰嗳,1,佛手片、光杏仁、前胡、地蛄蝼、带皮茯苓、新会皮,气逆晕厥、溺热、痰嗳略减、胃钝、面浮
Disease_624e211628,痰多气急,1,丝通草、光杏仁、冬桑叶、冬瓜子、前胡、橘红,便为红酱、咳嗽、气急、痰多、身热
Disease_02b12570ba,痰核,1,乌元参、京川贝、夏枯草、天葵子、昆布、海藻,上颚红蒂丁下坠、项上痰核
Disease_c8e011833d,痰湿冲肺胃钝,1,代赭石、光杏仁、新会皮、旋覆花、海蛤壳、石决明,右半身不遂、气急、胃钝
Disease_5cb18e29a2,痰湿夹食,1,五加皮、光杏仁、地骷髅、大腹绒、姜半夏、川椒目,气逆、溺短、痰嗽、胸满、足肿
Disease_5547df37a6,痰湿火阻滞肺胃,1,佩兰叶、戈制半夏、旋覆花、枇杷叶、海蛤壳、海蛤粉,便艰且少、咯痰不爽、大便色黑如酱、头汗、气逆膈塞
Disease_2d83a150df,痰湿遏热,1,东白薇、丝瓜络、京川贝、佛手片、光杏仁、冬桑叶,便闭、口腻、咳嗽、头痛、胃钝
Disease_eb082d39ca,痰湿阻气,1,前胡、干薤白、广郁金、旋覆花、枳实、瓜蒌仁,便不爽、咯痰甚粘、头汗、气逆、溺短红热
Disease_af021e9e0f,痰痫,1,双钩藤、明天麻、杜胆星、滁菊花、石决明、竹沥半夏,口吐白沫、头晕、头痛
Disease_6e53ea250c,痰血,1,东白薇、安南子、川黄草、明天麻、海蛤壳、滁菊花,头晕、心摇、心跳、气急、胸胁痛
Disease_efb3fce8a2,痰迷清窍,1,前胡、桔梗、瓜蒌仁、皂角、真化橘红、石菖蒲,咯痰粘厚、神识时蒙时清
Disease_1f3290bf9c,痰阻气喘,1,光杏仁、前胡、旋覆花、橘红、牛蒡子、瓜蒌仁,内热、口淡、咳嗽、夜不得卧、气喘
Disease_00200b6989,痰阻气急咳吐,1,延胡、旋覆花、春砂仁、月石、桑皮、海蛤壳,便不畅、便闭、口干、咳吐、昏语
Disease_97c54accb0,瘄,1,光杏仁、前胡、桔梗、牛蒡子、瓜蒌皮、西紫草,咳嗽、气逆、身热
Disease_773ba8e2bd,瘄后伏热未清,1,京川贝、地骨皮露、海蛤壳、珍珠母、甘蔗汁、石决明,两太阳筋脉跳动、两鼻孔煽、交后半夜发热、交寅卯时仍发热、便多溺少
Disease_80343b9ca6,瘄后余毒,1,冬瓜皮、大青、桑叶、灯草心、瓜蒌皮、竹叶,口腭烂、咳嗽、夜叫、头尚热
Disease_635517e44b,瘄后余毒未净,1,京川贝、冬桑叶、地栗、安南子、新会白、杜兜铃,便闭、咳痰、善呕、嘈杂、溺利
Disease_623576aabe,癃闭,1,桑皮、汉木通、瓜蒌皮、蝼蛄,便泄、便闭三日、口苦、小便点滴而来、既痛且热
Disease_8470017bc1,白喉,1,京川贝、元参、北沙参、天冬、安南子、建兰叶,咳嗽、喉间两边痛、白腐、稠痰
Disease_7bea0a2f0a,白浊,1,佩兰叶、南芡实、山栀、川萆薢、川黄草、新会白,白浊、腰足重滞酸痛、足重而滞
Disease_aa547741d1,眩晕,1,化龙骨、左金丸、广郁金、明天麻、牡蛎、石决明,口苦、呕吐黄水、头出冷汗、胸闷
Disease_f003af2d5e,神经麻痹,1,丽参须、大活络丹、川桂枝、川黄草、当归、怀牛膝,眼泪较多
Disease_3fce1d3668,积热上蒸,1,枳实、海蛤壳、滑石、瓜蒌仁、白前、白芥子,便闭三日、倚息不得卧、气急、痰多、色黄而粘
Disease_b3377e1457,积癥,1,东白薇、代赭石、光桃仁、姜炒川连、娑婆子、寒水石,咯痰、块上攻、块仍攻痛、块顶气逆、干呕
Disease_e56ec066cd,类疟,1,佛手片、佩兰叶、光杏仁、山栀、新会皮、枳壳,咳嗽、溺赤热、痰多、胃钝、胸闷
Disease_650cc96acb,经期同房腰腹坠痛,1,丹皮、冬葵子、川楝子、延胡、明乳香、枣儿槟榔肉,便时更甚、经行不净、经行少而紫黑、腰腹坠痛
Disease_7ebfe2e1a2,经水断而复来,1,东白薇、左牡蛎、柏子仁、白芍、真西参、石斛,精神衰弱、胃气渐减
Disease_13ea1187f9,经行即止,1,光桃仁、卷川朴、地鳖虫、夜明砂、归须、打延胡,腹胀满
Disease_4e3ed1ad03,络瘀肝胀,1,地鳖虫、广郁金、当归龙荟丸、旋覆花、杜赤小豆、泽兰,便闭、孙络亦现、溺短、赤浊、青筋浮露
Disease_f612f15cbb,耳聋,1,丝瓜络、京三棱、冬瓜皮、冬瓜皮子、冬葵子、卷川朴,二便尚不甚畅、便解不畅、口腻、手足筋脉拘挛、筋脉拘挛
Disease_87173b83d1,耳鸣,1,丝通草、前胡、北细辛、春砂仁、桂枝、瓜蒌皮,咳嗽、经停两月、食后腹痛
Disease_9665455934,聋,1,丝通草、前胡、北细辛、春砂仁、桂枝、瓜蒌皮,咳嗽、经停两月、食后腹痛
Disease_095a602c6b,肝冲伏热,1,东白薇、大青、广郁金、活水芦根、滑石、生地,干呕、溺不利、胸腹灼热、腰腹窜痛下坠
Disease_0709045c89,肝气冲肺,1,安南子、左牡蛎、款冬、海蛤壳、紫菀、野百合,痰中带血
Disease_c3e4d79ec3,肝气夹痧,1,代代花、宽筋草、川断、带壳春砂、广郁金、打延胡,咳痰、胸闷、腰腹串痛
Disease_64ffe48bb4,肝气腹痛,1,代赭石、六和曲、卷川朴、双钩藤、姜半夏、宽筋草,上冲则心跳、上冲胸满、冲气上逆、咯痰、嗳气
Disease_2d51525871,肝火上升,1,丝瓜络、元胡、川楝子、枳壳、瓜蒌仁、竹茹,便秘、左胸胁串背刺痛、气急、胸闷
Disease_a51c94c6af,肝火内扰,1,安南子、毛西参、海蛤壳、瓜蒌仁、生地、白芍,痰不爽、胃钝、脘痛、腰脊滞骨痛
Disease_6745c96cdf,肝火挟湿,1,光杏仁、冬桑叶、安南子、川楝子、延胡、桑叶,溺黄、胃钝、胸闷、脘痛
Disease_3ffd2d1ff6,肝火犯胃,1,寒水石、左金丸、旋覆花、桑叶、海蛤壳、瓜蒌仁,便不畅、口燥、心泛、欲呕、胃钝
Disease_4157552532,肝火郁,1,东白薇、丝通草、夏枯草、山栀、川楝子、广郁金,少腹热、少腹胀痛、胸膈痞闷、食后脘满
Disease_26537d395f,肝热伤胆,1,东白薇、左金丸、明天麻、杜胆星、池菊、滑石,口苦、呕绿、头晕、心跳
Disease_8c093ffd66,肝热冲肺,1,冬桑叶、天冬、安南子、杜兜铃、海蛤壳、淮山药,咳痰不爽、头晕、心跳
Disease_fcdf19f4ea,肝热夹湿,1,代代花、冬桑叶、决明、夏枯草、天麻、川黄草,头晕、头痛、少寐、心跳
Disease_65349f763c,肝热夹痰上冲心肺,1,东白薇、冬桑叶、北沙参、原麦冬、夜合花、姜半夏,便如红酱、便通、咳痰稀而带粘、唇红、夜间少寐
Disease_1291dcddd4,肝热消烁胃阴,1,广郁金、梨汁、珍珠母、甘蔗汁、生地、真狗宝,口苦不能纳食、吐吐、津枯液涸、虚风时将内动、食脘枯槁
Disease_3d19b0dc32,肝热犯肺胃,1,京川贝、代代花、北沙参、南芡实、夏枯草、夜合花,便或溏或泄、咯痰、肠鸣
Disease_4fd54069ad,肝热犯胃,1,丹皮、冬桑叶、广郁金、竹茹、苏丹参、藕节,头晕、脘痛
Disease_10db08c0b8,肝热生风,1,东白薇、丝瓜络、五加皮、代代花、夜交藤、宽筋草,串腰、便燥、口淡、头眩、心跳
Disease_0d558f61bd,肝热脑虚头目晕眩,1,东白薇、南芡实、夜合花、川杜仲、川黄草、柏子仁,咳痰带血、头目晕眩、带下、心烦、心跳胆怯
Disease_b17b1dfd58,肝热风动,1,东白薇、丝瓜络、宽筋草、延胡、明乳香、明天麻,头晕、神烦、脐旁冲动、遍身筋骨痛
Disease_5026d89546,肝疳,1,乌梅炭、乌梅肉、佛手片、冬桑叶、夏枯草、天葵子,便溏而泄、左眼羞明
Disease_c14548b4da,肝经伏热,1,十灰丸、浙茯苓、真珠母、石决明、竹茹、米仁,吐血、小便略黄微热、遗精
Disease_3f8f00bc39,肝络瘀热化虫,1,䗪虫丸、乌梅肉、代赭石、元明粉、娑婆子、川椒,便不畅、肠鸣腹痛
Disease_ade845f56b,肝肾两亏足痿,1,五加皮、代赭石、佩兰叶、宽筋草、川楝子、川连,两足痿软不能步履、口淡、头晕、干呕、心跳
Disease_1fbb8a723a,肝胃气夹食,1,丝瓜络、代代花、冬瓜子、子芩、宽筋草、延胡,下痢、口腻、吐酸、呕酸、微发寒热
Disease_65272d408f,肝胃气滞,1,卷川朴、春砂仁、滑石、腹皮、莱菔子、越鞠丸,咳痰不爽、溺短赤热、肢懈、胃钝、脘腹胀满
Disease_1af9ec7ada,肝胆犯胃呕酸,1,代赭石、川连、杜藿梗、海南子、石决明、竹茹,便不畅、呕吐黄绿水、脘腹满
Disease_6aa289eac7,肝脾不和,1,左金丸、广郁金、新会皮、石决明、竹茹、肥知母,口腻、呕酸、寒热、胃钝、酒热
Disease_087c5eb07a,肝虚生风,1,丝瓜络、宽筋草、广橘络、当归、桑麻丸、淮牛膝,头晕、心跳、手足筋绷急、步履艰难、耳鸣
Disease_83206cf681,肝郁痰饮,1,卷川朴、娑婆子、宽膨散、广橘白络、广郁金、滚痰丸,咯吐痰涎、无力、胸腹坚硬、自汗
Disease_4c34d178aa,肝郁肠痹脘痛,1,小茴、干薤白、广郁金、打延胡、明乳香、春砂仁,便闭、脘中块痛
Disease_ad0b4a9252,肝郁胆怯,1,代代花、佛手片、佩兰叶、左金丸、新会白、海蛤粉,呕酸、经停三月、胃钝、胸闷
Disease_f194474b84,肝阳上亢,1,四腿虎骨胶、带壳春砂、抱木茯神、牡蛎、磁朱丸、金匮肾气丸,上冲髓海、脊髓似恼、脊髓似烦、脊髓似痒
Disease_4ffec8cbab,肝阳呕酸吐苦,1,代赭石、冬桑叶、川楝子、左牡蛎、广郁金、抱木茯神,呕酸吐苦、头晕、胸闷脘痛
Disease_8de005ca67,肝阳旺心神亏,1,化龙齿骨、川黄草、左牡蛎、抱木茯神、枣仁、柏子仁,头晕目眩、胃疼、腰痛
Disease_bdefd523f2,肝风上翔头目眩晕,1,,两足犹冷、呕吐痰涎、头晕、头目眩晕、心跳身跳
Disease_60f1ae5507,肝风上脑,1,冬桑叶、明天麻、桑芽、款冬花、海蛤壳、滁菊花,咳嗽、咳痰、头重而木、耳渐失聪、胸闷
Disease_89c11c1d57,肝风上逆,1,佩兰叶、保和丸、广郁金、新会白、滑石、灯芯,心跳、胃钝、胸闷、腰筋拘挛
Disease_a476d8911e,肝风入络腹滞,1,七厘散、冬葵子、宽筋草、川桂枝、左秦艽、延胡,二便不利
Disease_75017cca98,肝风兼湿温,1,丝通草、佛手片、佩兰叶、冬桑叶、冬瓜皮、山栀,口淡腻、口腻、夜少寐、失音、头晕
Disease_e3951c5f42,肝风内扰,1,丝瓜络、安神丸、广橘白络、抱木茯神、明天麻、池菊花,口臭、头晕、手麻、脚痛、腹中气聚
Disease_ffdb44c023,肝风发痉,1,冬桑叶、双钩藤、枳壳、池菊花、滑石、瓜蒌仁,不语、便秘、头晕、心跳、神昏
Disease_de043d0fa4,肝风头晕心跳,1,前胡、明天麻、桑麻丸、桔梗、牛蒡子、白头翁,口淡、咳嗽、头晕、微寒、心跳
Disease_1936594273,肝风头目眩晕,1,佩兰叶、南芡实、川黄草、打鸡金、新会白、明天麻,便泄、头目眩晕、心跳、腹痛、身微冷
Disease_80f389dd7d,肝风夹痰,1,旋覆花、明天麻、桑叶、池菊、滑石、石决明,咳嗽、头晕、心跳、稠痰、耳鸣
Disease_4648c86f6d,肝风夹痰湿,1,左金丸、广郁金、指迷茯苓丸、明天麻、桑叶、池菊,便秘、呕吐苦水、头目晕眩、溺短
Disease_3c27dfe96e,肝风挟痰冲激脑经,1,双钩藤、明天麻、毛西参、珍珠母、瓜蒌仁、石决明,体痉、头晕、语蹇
Disease_c6ffdb3574,肝风湿热,1,丝瓜络、佩兰叶、原麦冬、川杜仲、川黄草、广郁金,口苦、夜少寐、头晕、心跳、胃钝
Disease_3b66f5cd81,肠胃郁结,1,丝瓜络、代赭石、卷川朴、宽膨散、带壳春砂、广郁金,便秘、便闭、气逆不舒、脘满气喘、脘腹满痛
Disease_b7823c4177,肠风飧泄,1,佩兰叶、冬桑叶、前胡、广皮、枳壳、桔梗,便溏、口淡、咳嗽、左小腹痛、溺短热
Disease_3a49839963,肺中伏火,1,冬桑叶、天冬、安南子、旋覆花、款冬花、池菊花,咳嗽、咳痰多而且粘、咽痛、喉痛、头晕痛
Disease_cd7a8ff898,肺伏火咳痰,1,冬桑叶、月石、杜兜铃、款冬、牛蒡子、瓜蒌仁,便不爽、便时腹痛、单声咳逆、咯痰不爽、溺热
Disease_891a146e7a,肺热劳嗽,1,冬桑叶、安南子、杜兜铃、款冬花、海蛤壳、瓜蒌仁,口苦、头晕、心跳、痰中带血、粘痰
Disease_343e790750,肺热咯血,1,佛耳草、冬桑叶、十灰丸、安南子、旋覆花、明天麻,咯血、头晕、心摇、火咳、胸痛
Disease_b6aef83054,肺热咳痰,1,丝通草、冬瓜皮、前胡、左牡蛎、明天麻、杜兜铃,两手发痉、咳痰、夜不能寐、气逆、痰晕发厥
Disease_81947d70ff,肺热咳痰带血,1,冬桑叶、十灰丸、安南子、广郁金、桑叶、桑皮,不食则饥、咳痰带血、胸腹不舒、食则脘满
Disease_01a1992a36,肺热干咳,1,安南子、桑叶、桑皮、款冬、瓜蒌仁、甜杏仁,声音渐底、干咳、胃不健
Disease_39611786d4,肺燥咳痰带血,1,东白薇、冬桑叶、安南子、瓜蒌仁、石决明、竹茹,两足微肿、咳痰带血、胸痛串背
Disease_b414f4b693,肺病,1,丝瓜络、冬桑叶、山栀、广郁金、桑梗、滁菊花,口干、咳血、头晕、气逆、痰多
Disease_586d0483cd,肺胃湿热,1,光杏仁、冬瓜皮、地骨皮、新会皮、桑皮、瓜蒌仁,口苦、咳嗽、气喘、白痰、肢懈
Disease_126b40c305,肺败胃枯,1,北沙参、原麦冬、毛细参、珠儿参、生地、真柿霜,手足均肿、日夜吐脓、舌前半热痛
Disease_cf09d36e5b,肺郁,1,乌元参、前胡、安南子、干薤白、广郁金、枳壳,咽痛、咽阻、小便微热、气逆、胃中时痛时止
Disease_ddf11d1252,肺阻,1,前胡、带壳春砂、新会白、桔梗、款冬、淮山药,咳嗽、大便水泻、稠痰、肠鸣
Disease_581e3201da,肾囊肿大,1,五加皮、光杏仁、地骷髅、大腹绒、姜半夏、川椒目,气逆、溺短、痰嗽、胸满、足肿
Disease_6eb57cbc5b,肾精梦泄,1,东白薇、南芡实、女贞子、安神丸、封髓丹、左牡蛎,梦泄、溺后血出、自遗
Disease_b45600cfc7,肾虚失纳肺气失降,1,上上沉香片、化龙骨、北茯神、川桂枝、左牡蛎、炙草,也不能寐、咳痰稠黄、喘不得卧、肢厥冷汗、额汗鼻冷
Disease_2ba10b862a,肾虚火燥,1,冬瓜瓤、冬瓜皮、北沙参、汉木通、甘细梢、甘蔗梢,小便已利
Disease_3609891843,肿,1,光杏仁、地骷髅、宽膨散、滑石、牛蒡、瓜蒌仁,二便不利、咳痰不爽
Disease_00af46bdcb,肿胀,1,光杏仁、冬瓜子、冬葵子、地骷髅、控涎丹、旋覆花,便不畅、大便水泻、心跳、溺短热、肿胀
Disease_e077b51108,胃中结癥,1,墨鱼骨、延胡、当归、泽泻、海蛤壳粉、滁菊花,头痛、或多或少、时带下、经行延或早、胃疼
Disease_6a44f4c4b0,胃寒血虚生风,1,吴茱萸、姜半夏、带壳春砂、广皮、明天麻、浙茯苓,口吐白沫、头晕、心跳、经后带多、经色淡或紫
Disease_68ba8b4a60,胃痛,1,光杏仁、前胡、墨鱼骨、尿浸石膏、山豆根、带壳春砂,便不畅、呕吐、咳痰不爽、左腹痛、胃中嘈杂作痛
Disease_49035e41a6,胃筋抽痛,1,宣木瓜、宽筋草、川楝子、干薤白、广郁金、延胡,大便坚燥、大便甚热、胃筋抽痛、胃纳如前、胸痹硬痛串背
Disease_20a27507ea,胃筋拘挛,1,元明粉、干薤白、打延胡、明乳香、海南子、滑石,便尚不畅、脘中痛
Disease_1d57554fb0,胃肠积热,1,冬桑叶、夏枯草、枳壳、滁菊花、灯芯、瓜蒌皮,下乳积、两目有时上视、便血、口气热、溺如米泔而臭
Disease_e3f7d7aaab,胃脘积滞痛胀,1,冬葵子、小茴香、干薤白、延胡、打乳香、明乳香,便通不畅、便闭、痛胀、胸腹痞满、脘痛
Disease_6a96dc243b,胃钝,1,丝瓜络、丝通草、代代花、佛手片、冬瓜子、安南子,二便不利、便闭、口燥、口苦、干呕
Disease_9bd2914c06,胃阴大亏肝阳独亢,1,梨汁、甜酱油、真狗宝、羚角汁,便如红酱、吐出色绿、溺热、胃阴大困、饮即呕吐
Disease_089b3926a6,胃阴大伤,1,代赭石、甘蔗、生地、白芍、石决明、石斛,久呕酸苦、脘痛
Disease_3cccfd3095,胎漏,1,丝瓜络、宜男草、川黄草、新会白、春砂壳、毛西参,两腰微觉酸痛、胎漏紫红
Disease_f390e47765,胸痛溺热,1,,口燥不渴、呃逆、咳痰自汗、咽如物哽、夜不安寐
Disease_2340816213,胸膈痞满,1,乌元参、前胡、安南子、干薤白、广郁金、枳壳,咽痛、咽阻、小便微热、气逆、胃中时痛时止
Disease_07f00d3981,脑虚发厥,1,东白薇、代赭石、明天麻、滁菊花、白芍、石决明,久延变痛、发厥、头晕
Disease_1c1e0c0dc3,脑风,1,丝通草、冬桑叶、夏枯花、新会白、明天麻、滁菊花,嗜卧、头晕、头痛、神倦
Disease_0da490faa2,脘满,1,光杏仁、前胡、墨鱼骨、尿浸石膏、山豆根、带壳春砂,便不畅、呕吐、咳痰不爽、左腹痛、胃中嘈杂作痛
Disease_908e10d22f,脘腹痛,1,墨鱼骨、宽筋草、打元胡、旋覆花、明乳香、泽兰,胃口不健、脘腹串痛或连腰腿
Disease_23ee777aa0,脘腹胀满,1,冬桑叶、卷川朴、地蛄蝼、带壳春砂、广木香、广郁金,便不畅、口淡、嗳气、水泄、肠鸣
Disease_5df0045a8c,脘闷嘈杂,1,佛手片、佩兰叶、保和丸、山栀、新会皮、杜藿梗,口淡、嘈杂、寒热、肢懈、胃钝
Disease_f56f4f573a,脾湿肝热,1,丝瓜络、代代花、佩兰叶、冬瓜子、宽筋草、新会白,两腰串痛、口苦、右腰尚痛、胃不健、腹仍微满
Disease_9b87c3eb88,脾湿遏热,1,川桂枝、川椒目、新会皮、木瓜、杜藿梗、浙茯苓,口淡、肢懈、胃钝、面黄
Disease_6a164af78f,脾疳,1,乌梅炭、使君子肉、枣儿槟榔肉、胡连、腹皮、鸡金,便泄、便色白不化、形瘦、消化不良、溺短
Disease_d4e9370305,脾胃湿热,1,佩兰叶、冬瓜皮、山栀、新会皮、杜藿梗、滑石,小便赤热、无力、肢懈、胃气不健
Disease_c1dfab598d,脾虚,1,前胡、带壳春砂、新会白、桔梗、款冬、淮山药,咳嗽、大便水泻、稠痰、肠鸣
Disease_9427c439a7,脾虚晨泄,1,乌梅、于术、南芡实、小京枣、山药、扁豆花,小便短少、日困、晨泄、水泻、肠鸣
Disease_666393fdb1,腑实痰瘀互阻,1,丝瓜络、乳香、代赭石、元明粉、元胡、光杏仁,便秘、咳嗽痰多、善呕、左小腹抽痛、胸闷
Disease_7c9238b088,腹大气逆中满,1,地蛄蝼、广郁金、木香槟榔丸、枳实、滑石、瓜蒌仁,气逆、腹大
Disease_cb8ecaa5ca,腹满,1,丝瓜络、京三棱、冬瓜皮、冬瓜皮子、冬葵子、卷川朴,二便尚不甚畅、便解不畅、口腻、手足筋脉拘挛、筋脉拘挛
Disease_8762f618ca,舌烂,1,原麦冬、天冬、尿浸石膏、月石、熟地露、生地,便燥、溺短
Disease_5d80b2b3db,蓄血,1,东白薇、左金丸、广郁金、海蛤壳、滑石、白芍,胃钝、胸闷、饮食即呕
Disease_827b49dc26,虱入耳穿脑髓,1,冬瓜子、明天麻、更衣丸、松子仁、柏子仁、桑麻丸,便须五六日一解、头中自觉怪痒、性灵渐减、胃亦钝
Disease_9e4285e999,蛔虫肠鸣水泻,1,于术、川连、广木香、新会白、白芍、粉甘草,口渴喜饮、水泻、肠鸣、胸腹胀满、面足浮肿
Disease_15f8bdef1b,血分热毒外溃,1,丝瓜络、丹皮、五加皮、元胡、天葵子、宣木瓜,背寒体热、身发风块
Disease_f8d7174386,血枯经闭,1,南芡实、墨鱼骨、川黄草、左牡蛎、甘松、白归身,带下、经闭、腰痛
Disease_cfd96c7cde,血热,1,丝瓜络、于术、侧柏叶、地榆、毛西参、竹茹,溺急热、胎漏或止或见、腰微痛
Disease_6db2467b5a,血热生风,1,东白薇、左牡蛎、灯芯、白芍、紫石英、辰茯神,头晕、心惊、耳鸣、胆怯
Disease_05425632a7,血虚湿溃,1,冬瓜子、冬瓜皮、山栀、忍冬藤、桑枝、桑皮,发现㾦癗三四发、头巅手足皆生湿疮、或痒或热痛、经已三月不来、经水三四月一行
Disease_00c4bf547e,血虚生风,1,东白薇、川黄草、新会白、明天麻、滁菊花、滑石,头晕痛、目珠痛、眼眶酸、肢麻
Disease_d8dffc1db8,血虚胃痛,1,北沙参、川楝子、川黄草、新会白、甘杞子、甘松,纳食不多、胃脘痛
Disease_1893397c33,赤痢,1,丝瓜络、佛手片、佩兰叶、冬瓜子、冬瓜皮、川朴,便不爽、溺短热、肢懈、胃钝、腹痛
Disease_6c4694b122,足底生疮,1,元参、左牡蛎、淮小麦、生地、穞豆衣、竹茹,流涎太多、虚汗自头项至胸而止
Disease_7c5be6c272,足痿,1,丝瓜络、五加皮、光杏仁、半夏、宽筋草、川断,两腿筋痛、便闭、咯痰不爽、咳嗽、夜间呃逆
Disease_b40cde1681,跌打损伤,1,佛手片、元明粉、光桃仁、冬葵子、净没药、川楝子,中脘尚满、便闭、大便通而不畅、气塞、筋骨作痛
Disease_cbbcfdc52d,身孕夹湿热,1,佛手片、冬桑叶、冬瓜皮、山栀、滁菊花、竹叶,口燥、溺热、肢懈
Disease_efbc89ace2,身热发瘄,1,丝通草、佛手片、冬桑叶、栀子、桑叶、桑枝,便溏、发瘄、溺黄、胃纳不开、身热
Disease_2455290aca,酒湿,1,冬桑叶、前胡、控涎丹、枳椇子、浙茯苓、滁菊花,咳嗽、痰多、腰脊无力
Disease_2dc0aece9e,阴虚,1,原麦冬、女贞子、左牡蛎、抱木茯神、白芍、阿胶,头晕、左耳虚鸣、心悸
Disease_c513c0e285,阴虚火旺,1,元参心、北沙参、南芡实、原麦冬、宽筋草、新会白,右口牙起一块、头晕、带下、心摇、腰酸痛
Disease_7ef8ae6008,阴虚痰嗽,1,月石、杜兜铃、款冬花、海蛤壳、牛蒡子、瓜蒌仁,动则加甚、咳痰渐稠、喘亦渐减
Disease_bc3ff66506,霍乱,1,五香膏、佛手片、保和丸、光杏仁、冬瓜皮子、山栀,呕酸、小溲全无、热泻如注、胸膈痞满、腹痛
Disease_324708bd15,面浮,1,丹皮、于术、冬桑叶、冬瓜皮、夜合花、川黄草,便泻或不泻、便溏、口淡、头痛、心摇少寐
Disease_8fe7371fc2,面浮手足皆肿,1,光杏仁、六路通、冬桑叶、冬瓜子、冬瓜皮、地骷髅,二便清利、咳嗽、手足皆肿、面浮
Disease_d39cf7802f,颐下起核,1,佛手片、川楝子、延胡、木香、枳壳、桔梗,日夜多哭、欲便不便、腹中痛
Disease_05ff3561da,风中经络,1,双钩藤、宽筋草、左秦艽、广皮红、桑枝、瓜蒌皮,咳痰不出、左肢麻木、舌伸缩不便、言蹇
Disease_f25dc7244b,风中脏腑,1,上上沉香片、丽参须、代赭石、双钩藤、姜汁、宽筋草,不能语、口不得开、咳嗽、咽下为难、牙关紧闭
Disease_bbb100403c,风嗽,1,光杏仁、新会皮、款冬花、瓜蒌仁、白前、百部,头痛、白痰、脑胀
Disease_a14bbfa2a5,风寒,1,丝瓜络、冬桑叶、山栀、广郁金、桑梗、滁菊花,口干、咳血、头晕、气逆、痰多
Disease_b2aa6bb9e9,风寒身痛,1,川桂枝、新会白、滁菊花、滑石、白前、竹沥半夏,一身筋骨作痛、咳嗽、头痛、痰少、肢冷
Disease_54c01845a1,风湿,1,丝瓜络、川楝子、广郁金、延胡、打延胡、新会皮,口淡、呕酸、头身痛、寒热、渴不欲饮
Disease_8b5c2567bd,风湿兼食滞,1,佛手片、冬桑叶、川黄草、广郁金、新会白、枳壳,口腻而苦、头痛、肢懈、胃不欲食
Disease_bb589c5fbc,风火上受,1,夏枯草、安南子、广郁金、桑叶、瓜蒌皮、菊花,乍寒乍热、咳嗽、喉旁略红肿、耳后颈粗且痛、胸闷
Disease_baf2f60877,风火喉痛,1,万年青根、冬桑叶、安南子、山栀、滁菊花、瓜蒌皮,唇红、喉痛、身热
Disease_e1f13c5ef4,风热咳嗽,1,光杏仁、安南子、旋覆花、桑叶、桑枝、款冬花,咳吐不爽、咳嗽稠痰、咽痒咳嗽、气急胸闷、痰多而粘
Disease_2651a67284,风热头目痛,1,冬桑叶、夏枯草、木贼草、白池菊、竹叶、苏叶梗,先寒后热、头胀痛、眼红肿痛
Disease_1f0737c726,风热夹食,1,保和丸、冬桑叶、冬瓜皮、夏枯草花、滁菊花、滑石,咳嗽、身腹均热、鼻流浊涕
Disease_3f24ae14a6,风热目赤肿痛,1,冬桑叶、夏枯草、大青、广郁金、杜红花、枳壳,乍寒乍热、口腻、形酸、目赤肿痛、胃钝
Disease_79211b08dd,风热耳痛,1,佩兰叶、冬桑叶、夏枯草、滁菊花、瓜蒌皮、益母草,口腻、形寒、耳痛、胃钝、身热
Disease_fe97eb7d91,食积,1,乳香、佛手、延胡、春砂仁、枳壳、桔梗,脘腹大痛、食后胸闷
Disease_47b836a70f,食道气阻,1,丝通、代代花、佛手片、广郁金、新会皮、枳壳,口苦而腻、咯吐粘涎、胸闷不舒、食即吐出
Disease_583b1a760b,飧泄,1,于术、川芎、广皮、春砂、木香、甘草,两足酸痛、大便溏泻、肠鸣
