disease_id,disease,n_cases,signature_herbs,signature_symptoms
Disease_3ab4791f08,中土形寒吐饭,1,东白薇、代赭石、宽筋草、广郁金、海蛤粉、甘松,吐饭、形寒、瘀血
Disease_d3a1a7faa7,久嗽伤肺,1,安南子、川黄草、左秦艽、明天麻、月石、杜兜铃,咳痰带血、遍身筋骨酸痛
Disease_ea67deebb2,久泻脱肛,1,于术、升麻、地榆、川芎、广木香、扁笋尖,大便带红、小溲短少
Disease_0b5a1ea4c0,产后自汗,1,嫩姜、小京枣、新会白、桂枝木、炙草、白归身,卫虚自汗、筋脉痉挛
Disease_cb5faaf7e3,伏热生风,1,东白薇、大补阴丸、女贞子、明天麻、桑芽、桑麻丸,头晕、耳鸣、背腰抽痛
Disease_beb5bdeed4,休息痢,1,升麻、桂圆肉、燉鳖甲胶、玉枢丹、益元散、竹茹,
Disease_c4998c854c,伤暑,1,冬桑叶、冬瓜子、广郁金、扁豆衣、新会白、桑枝,二便均闭、发热、夜间时时惊醒、心怯昏言、肢冷
Disease_64a47453dd,伤风,1,东白薇、乌玄参、京川贝、元参、刮淡竹茹、刮竹茹,五心烦热、咽痛、失音、痰薄而粘、食后脘满
Disease_54f22a3e1f,伤食伏热,1,广郁金、枳实、滑石、瓜蒌仁、竹叶、竹茹,便不爽、口燥、头痛、干呕、气逆
Disease_540f279f6c,停饮,1,上沉香、东白薇、丝瓜络、乌贼骨、佛手片、佩兰叶,便不畅、口苦、呕气、头晕、左胁下胀痛
Disease_5d740c02ec,内热生风,1,京川贝、冬桑叶、天花粉、梨汁、海蛤壳、瓜蒌仁,便通而燥、左半身筋脉拘挛、溺短热
Disease_1c0c852193,冒暑,1,佩兰叶、广郁金、枳壳、滑石、瓜蒌皮、竹叶,口苦、溺黄热、肢懈、胸闷
Disease_ba70fe8fdc,冲任伏热激动肝风,1,东白薇、丹皮、冬桑叶、冬白薇、化龙骨、北五味,头晕、小便短热、心跳、手痉、欲厥
Disease_880dff61a3,劳伤,1,丽参须、于术、姜半夏、宽筋草、川桂枝、川续断,无力、肢麻
Disease_865cf8af3a,劳咳,1,冬桑叶、款冬花、海蛤粉、甜杏仁、白前、竹沥半夏,便不爽、咳痰带血
Disease_a977be3f99,劳嗼,1,冬桑叶、款冬花、浙茯苓、海蛤壳、甜杏仁、竹沥半夏,咳痰、头痛、耳鸣
Disease_4d86126090,半身不遂,1,双钩藤、滁菊花、滑石、石决明、石菖蒲、竹叶,大便一日不解、头身均热、头身渐向右边倾侧、神迷不语、胃不开
Disease_b3693d235c,发痉,1,双钩藤、明天麻、杜胆星、滁菊花、石决明、竹沥半夏,口吐白沫、头晕、头痛
Disease_d481e54aa9,发瘄,1,丝通草、京川贝、冬桑叶、前胡、夏枯草、大荸荠,便泄、便红而臭、口干、咳嗽有痰、大便色黑
